	Absolute way	Class	Num_class	Image_width	Image_hight	Number_of_chanel	Number_of_pixels
30	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0031.jpg	tiger	0	200	400	3	240000
31	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0032.jpg	tiger	0	200	400	3	240000
32	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0033.jpg	tiger	0	200	400	3	240000
33	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0034.jpg	tiger	0	200	400	3	240000
34	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0035.jpg	tiger	0	200	400	3	240000
35	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0036.jpg	tiger	0	200	400	3	240000
38	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0039.jpg	tiger	0	200	400	3	240000
39	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0040.jpg	tiger	0	200	400	3	240000
40	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0041.jpg	tiger	0	200	400	3	240000
41	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0042.jpg	tiger	0	200	400	3	240000
42	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0043.jpg	tiger	0	320	256	3	245760
64	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0065.jpg	tiger	0	320	237	3	227520
69	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0070.jpg	tiger	0	320	342	3	328320
72	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0073.jpg	tiger	0	200	400	3	240000
73	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0074.jpg	tiger	0	200	400	3	240000
74	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0075.jpg	tiger	0	200	400	3	240000
75	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0076.jpg	tiger	0	200	400	3	240000
76	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0077.jpg	tiger	0	200	400	3	240000
77	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0078.jpg	tiger	0	200	400	3	240000
78	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0079.jpg	tiger	0	200	400	3	240000
79	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0080.jpg	tiger	0	200	400	3	240000
80	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0081.jpg	tiger	0	200	400	3	240000
81	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0082.jpg	tiger	0	200	400	3	240000
82	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0083.jpg	tiger	0	200	400	3	240000
83	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0084.jpg	tiger	0	200	400	3	240000
94	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0095.jpg	tiger	0	320	214	3	205440
97	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0098.jpg	tiger	0	320	400	3	384000
106	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0107.jpg	tiger	0	320	320	3	307200
114	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0115.jpg	tiger	0	200	400	3	240000
115	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0116.jpg	tiger	0	200	400	3	240000
116	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0117.jpg	tiger	0	200	400	3	240000
117	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0118.jpg	tiger	0	200	400	3	240000
118	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0119.jpg	tiger	0	200	400	3	240000
119	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0120.jpg	tiger	0	200	400	3	240000
120	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0121.jpg	tiger	0	200	400	3	240000
121	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0122.jpg	tiger	0	200	400	3	240000
122	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0123.jpg	tiger	0	200	400	3	240000
123	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0124.jpg	tiger	0	200	400	3	240000
124	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0125.jpg	tiger	0	200	400	3	240000
125	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0126.jpg	tiger	0	200	400	3	240000
136	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0137.jpg	tiger	0	320	257	3	246720
156	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0157.jpg	tiger	0	200	400	3	240000
157	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0158.jpg	tiger	0	200	400	3	240000
158	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0159.jpg	tiger	0	200	400	3	240000
159	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0160.jpg	tiger	0	200	400	3	240000
160	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0161.jpg	tiger	0	200	400	3	240000
161	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0162.jpg	tiger	0	200	400	3	240000
162	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0163.jpg	tiger	0	200	400	3	240000
